feature,pearson,spearman,p_value,abs_r
Y374_lig_min_dist_8Y,0.066265361541372,0.03767301657275722,0.34997276463182797,0.066265361541372
Dif_affinity,0.06381910540065074,0.09452761874897253,0.36808463728312607,0.06381910540065074
intramol_8Y,-0.06239182511700208,-0.09674189028165583,0.3789147684441579,0.06239182511700208
Y374_chi1_8Y,-0.062252822646081674,-0.029785207213354727,0.3799798114322453,0.062252822646081674
num_clash_atoms_7F,0.06163990034226995,0.05652600470076443,0.38469779119692726,0.06163990034226995
Rel_F398_chi2_cos,-0.061630385294139944,0.00010719363035812005,0.3847713125612915,0.061630385294139944
Rel_Y91_chi2_sin,0.061008541315527014,0.11850440652694237,0.3895946798308628,0.061008541315527014
Y91_lig_min_dist_8Y,0.060494091672344305,0.012212681196663057,0.39361249354232514,0.060494091672344305
F398_chi2_7F,-0.058231585344462586,-0.07117583129137545,0.4115760149203638,0.058231585344462586
F398_shift_8Y,-0.053747553641611205,0.031041473057543217,0.4485715552971246,0.053747553641611205
Y412_chi2_8Y,-0.05130192573825498,-0.052759654437243675,0.4695136641961292,0.05130192573825498
Rel_Y91_chi1_cos,-0.05058459221534079,0.23397981792953823,0.47575645479944906,0.05058459221534079
Rel_F367_chi1_cos,-0.05046241477794395,0.24508659438793645,0.4768242210791201,0.05046241477794395
Dif_Y374_chi2,-0.04858144741282012,-0.10202467957560986,0.4934260954245908,0.04858144741282012
Dif_Y91_chi2,-0.047363833606340666,0.015516462810941942,0.5043346195390285,0.047363833606340666
F367_chi2_7F,-0.04727726085807051,-0.036347552173131466,0.5051149971701459,0.04727726085807051
Dif_F398_chi2_,0.04616747592081677,0.06083127632860873,0.5151743887251133,0.04616747592081677
Rel_Y91_chi2_cos,0.043107314509906194,-0.024510378031196347,0.5434378165807562,0.043107314509906194
Dif_F367_chi2,0.04206807120288059,0.008342621507526791,0.5532074516249638,0.04206807120288059
Rel_W110_chi1_sin,-0.0417669507636462,-0.09798458097236012,0.5560540790813369,0.0417669507636462
Rel_F398_shift_,-0.041435676262023685,-0.12230201810728487,0.5591939372809708,0.041435676262023685
Dif_Y412_lig_min_dist,-0.0404015615967833,0.0001596815459127857,0.5690499773522373,0.0404015615967833
Dif_Y115_chi2,-0.04039015159003199,0.01450810341915935,0.5691591826378201,0.04039015159003199
Dif_W371_chi2,0.038947714554697116,0.04900153513556985,0.5830440966783854,0.038947714554697116
Rel_Y115_shift,0.03757014272456686,0.008111231119236504,0.596449146409951,0.03757014272456686
Y91_shift_7F,0.03717966412530659,-0.11744208068677259,0.6002740472843208,0.03717966412530659
gauss_total_8Y,0.03706797789947885,0.059910150373945155,0.6013700817582969,0.03706797789947885
Dif_Y412_chi2,-0.03706016213475028,-0.02956991738409961,0.6014468154330431,0.03706016213475028
Y374_chi2_8Y,-0.037057626338539165,-0.0012737593292681244,0.6014717123345966,0.037057626338539165
Y412_lig_min_dist_7F,0.03470463314920716,0.030505828667088442,0.6247696038932274,0.03470463314920716
Rel_Y374_chi1_sin,0.03470308115528872,0.12412874542187047,0.6247850977647457,0.03470308115528872
Y115_chi2_8Y,0.03456200438454472,0.020151767469325472,0.6261941826910064,0.03456200438454472
F367_shift_7F,-0.032283098833920235,-0.24771431305897187,0.6491408824021719,0.032283098833920235
Dif_F367_shift,0.03192221854137614,0.22494324587405798,0.6528058900089571,0.03192221854137614
Dif_Y91_shift,-0.03158551370611884,0.13943525657059377,0.6562328960252486,0.03158551370611884
Dif_R132_D131_min_dist,0.031197833247161806,0.01792203572946141,0.660187642632102,0.031197833247161806
Dif_F398_shift_,-0.03119709265652395,-0.12294222282376853,0.660195206499358,0.03119709265652395
Rel_Y374_chi2_sin,0.03119104487553014,-0.02439283467101054,0.6602569755326282,0.03119104487553014
Y374_chi2_7F,0.030979554564921043,0.11111469942997845,0.6624184751180606,0.030979554564921043
Rel_cnn_affinity,-0.02739384622173697,0.025747170745604175,0.6994781129336307,0.02739384622173697
F398_shift_7F,0.026893292110194325,0.11139635993457463,0.7047110072303177,0.026893292110194325
Rel_R132_D131_min_dist,0.026347060966044476,0.01292533402194049,0.7104372777372041,0.026347060966044476
Dif_W110_chi1,-0.026214753497724515,-0.11269529773693748,0.711826746952689,0.026214753497724515
hydrophobic_total_8Y,0.02512622957648168,0.0814715946706688,0.7232939211035172,0.02512622957648168
W110_chi1_8Y,-0.024054406781698897,0.04299178679773209,0.734645738369574,0.024054406781698897
Y91_chi2_7F,-0.020751985242509506,-0.07726963290712348,0.7699756554934893,0.020751985242509506
Rel_W110_chi1_cos,0.020466278633860302,0.10593985626778286,0.7730557765969883,0.020466278633860302
Y412_lig_min_dist_8Y,-0.020313531589555504,0.0759152682860369,0.7747039585945141,0.020313531589555504
W371_chi2_7F,0.01971723999329752,-0.0068252897958317295,0.7811476918241992,0.01971723999329752
Rel_F367_chi2_sin,0.01920230087224385,0.004808188771373882,0.7867243453137893,0.01920230087224385
Rel_Y412_chi1_cos,0.017844467359990457,0.052378287328278685,0.8014807673466081,0.017844467359990457
Rel_Y374_chi1_cos,-0.017692772639535743,-0.16960176195261753,0.8031338068231034,0.017692772639535743
Y412_chi1_8Y,0.01697752404245803,0.039411853547593405,0.8109396399945458,0.01697752404245803
Rel_cnn_SP,0.016029993641238863,0.035122547436650234,0.8213091425131113,0.016029993641238863
Dif_Y412_chi1_,0.01564830184975301,0.052378287328278685,0.825495149021476,0.01564830184975301
Rel_Y412_chi1_sin,0.015164264131921923,0.052378287328278685,0.8308106560493778,0.015164264131921923
Dif_Y374_shift,-0.014952616626597994,0.041810690704580655,0.8331373149092216,0.014952616626597994
F398_chi1_7F,0.014224497055102302,0.047177918138540706,0.8411525572599822,0.014224497055102302
Dif_cnn_SP,0.014201214260813999,0.03045299361943756,0.8414091319716804,0.014201214260813999
Y115_chi1_8Y,-0.01353575727636769,-0.03274234178825596,0.8487493841235603,0.01353575727636769
F367_shift_8Y,-0.012767221071392842,-0.0453199401939061,0.8572428257680879,0.012767221071392842
Dif_Y115_shift,0.012094424318001595,0.009414557811107992,0.8646917323958498,0.012094424318001595
Rel_F367_chi1_sin,-0.011987405571964767,0.2013044420490141,0.8658777148493806,0.011987405571964767
Y115_shift_7F,-0.011936075390402135,-0.007140574314683321,0.8664466628082401,0.011936075390402135
Rel_Y412_chi2_cos,-0.011759880000597925,-0.04582047174639061,0.8684001477733169,0.011759880000597925
Rel_Y412_chi2_sin,0.011723973871319144,0.02069945965536111,0.8687983386079625,0.011723973871319144
F367_chi2_8Y,0.011192505791884529,-0.05837508863776933,0.8746960085363503,0.011192505791884529
Rel_Y412_lig_min_dist,-0.009384588597259786,0.020593005291419254,0.8948082121552129,0.009384588597259786
Y374_shift_7F,0.00916184804048549,-0.04967870317286666,0.8972910101369188,0.00916184804048549
Affinity_7F,-0.008977808518996839,-0.04548160216884424,0.8993431778123802,0.008977808518996839
Rel_F398_chi1_cos,-0.008390387988591265,-0.03687313031036077,0.9058977258601673,0.008390387988591265
Y412_shift_8Y,-0.00789805281422049,-0.038415638072444996,0.9113962170036585,0.00789805281422049
Y412_chi2_7F,-0.006705326531571234,-0.029054301335813652,0.9247337657669227,0.006705326531571234
Y412_chi1_7F,-0.00670261431941507,-0.02289147135947646,0.924764120193947,0.00670261431941507
Dif_Y412_shift,-0.006506594770734548,-0.055950639448441086,0.9269582090084884,0.006506594770734548
F398_chi2_8Y,0.005369132941508177,0.015635559797341925,0.9397004247380621,0.005369132941508177
Rel_Y374_shift,-0.004733463305025485,0.03936076180108542,0.9468282906121358,0.004733463305025485
Rel_Y412_shift,-0.004252966564759897,-0.05469019020871284,0.9522190131452908,0.004252966564759897
Dif_Y374_chi1,-0.003434593401629016,0.09961393179217656,0.9614052570006582,0.003434593401629016
Y374_chi1_7F,0.002926644915521942,-0.10785545099868657,0.9671096179645972,0.002926644915521942
Rel_Y91_shift,0.0026931957121177482,0.14218015277417792,0.9697318761314101,0.0026931957121177482
Y115_shift_8Y,0.0023703239708593817,0.033196832007778516,0.9733591176253489,0.0023703239708593817
Y412_shift_7F,0.002175705941277097,0.03261600831165813,0.975545786005331,0.002175705941277097
W110_chi2_8Y,-0.0011568404103161065,0.011407767577275995,0.986996047511534,0.0011568404103161065
W110_shift_8Y,0.0004451899479882551,-0.005765171277111063,0.994995467320078,0.0004451899479882551
